MA_Period,Final_Balance,Total_Return_Pct,Balance_2013,Return_2013_Pct,Balance_2014,Return_2014_Pct,Balance_2015,Return_2015_Pct,Balance_2016,Return_2016_Pct,Balance_2017,Return_2017_Pct,Balance_2018,Return_2018_Pct,Balance_2019,Return_2019_Pct,Balance_2020,Return_2020_Pct,Balance_2021,Return_2021_Pct,Balance_2022,Return_2022_Pct,Balance_2023,Return_2023_Pct,Balance_2024,Return_2024_Pct,Balance_2025,Return_2025_Pct
39,6.116138584195941e-184,-100.0,888892.2949146483,-11.110770508535172,8.093228510534102e-14,-100.0,3.0084262564656085e-35,-100.0,4.713250581242063e-61,-100.0,5.393512660793429e-75,-99.99999999999886,9.84439032286253e-92,-100.0,4.843918439318841e-107,-99.99999999999996,4.1190867116943964e-122,-99.99999999999991,3.734210584385617e-137,-99.99999999999991,2.299550867898265e-153,-99.99999999999999,8.342010627786894e-168,-99.99999999999963,4.4749106082790477e-182,-99.99999999999946,6.116138584195941e-184,-98.63323781867722
40,1.6736664282314677e-181,-100.0,888892.2949146483,-11.110770508535172,1.4095835348736988e-13,-100.0,1.116397870509835e-34,-100.0,3.9974662016312503e-60,-100.0,1.0870548476041563e-73,-99.99999999999729,2.6685378010902796e-90,-100.0,1.059913176155109e-105,-99.99999999999996,1.3019362196534594e-120,-99.99999999999987,2.2899817676432495e-135,-99.99999999999983,2.1246633602236536e-151,-99.99999999999999,2.0364868164103954e-165,-99.99999999999905,1.3224654418658953e-179,-99.99999999999936,1.6736664282314677e-181,-98.73443465874612
41,5.44156082029969e-179,-100.0,915169.4371700253,-8.48305628299747,3.0175423602466756e-13,-100.0,4.336121134857882e-34,-100.0,3.5854716497691883e-59,-100.0,1.1977582077998874e-72,-99.99999999999666,7.973261841938832e-89,-99.99999999999999,5.980588209169617e-104,-99.99999999999993,8.745506545667669e-119,-99.99999999999986,1.9106362440535357e-133,-99.99999999999977,4.015889255531261e-149,-99.99999999999997,4.235518208541757e-163,-99.99999999999895,3.8316834420920826e-177,-99.9999999999991,5.44156082029969e-179,-98.57985115353668
42,8.55763390518754e-177,-100.0,924413.5728990155,-7.558642710098451,6.879368789059046e-13,-100.0,2.5724354976600554e-33,-100.0,2.457106450831812e-58,-100.0,6.767686699044134e-72,-99.99999999999724,8.376457471850451e-88,-99.99999999999999,9.446666267309436e-103,-99.99999999999989,1.7244370700861735e-117,-99.99999999999983,7.151201275502814e-132,-99.99999999999959,3.295975199341402e-147,-99.99999999999996,3.700292591403845e-161,-99.99999999999888,5.642752736111058e-175,-99.99999999999848,8.55763390518754e-177,-98.48342922233282
43,1.5838595848035586e-174,-100.0,924413.5728990155,-7.558642710098451,8.54585496768151e-13,-100.0,9.158466004735468e-33,-100.0,1.229376131906647e-57,-100.0,6.566253235651473e-71,-99.99999999999466,1.4505174818506118e-86,-99.99999999999997,2.5056443901218573e-101,-99.99999999999983,7.213609262411743e-116,-99.99999999999972,3.460657630536419e-130,-99.99999999999952,3.1926533862161718e-145,-99.99999999999991,3.7702098181269415e-159,-99.99999999999882,9.021339933939949e-173,-99.9999999999976,1.5838595848035586e-174,-98.24431891891714
44,1.3387127081127932e-172,-100.0,924413.5728990155,-7.558642710098451,9.406382438244147e-13,-100.0,2.994257553292434e-32,-100.0,7.973533991755777e-57,-100.0,7.172705276606337e-70,-99.999999999991,1.4707367910103752e-85,-99.99999999999997,3.017604360378912e-100,-99.9999999999998,1.0783151760709087e-114,-99.99999999999964,6.759178217126975e-129,-99.99999999999937,9.580148956752019e-144,-99.99999999999986,1.6364638525191006e-157,-99.9999999999983,6.600156060531759e-171,-99.99999999999596,1.3387127081127932e-172,-97.97169537229861
45,7.78336859067242e-171,-100.0,924413.5728990155,-7.558642710098451,2.1129533999202774e-12,-100.0,7.288076383064113e-32,-100.0,3.914792602070442e-56,-100.0,5.646727936134033e-69,-99.99999999998558,1.6410226374135056e-84,-99.99999999999997,5.448482779195903e-99,-99.99999999999967,2.150260611130355e-113,-99.9999999999996,2.3809516989090106e-127,-99.99999999999889,3.934909586890139e-142,-99.99999999999983,6.87006381344288e-156,-99.99999999999825,3.7585342269400275e-169,-99.99999999999453,7.78336859067242e-171,-97.92914787501904
46,6.513751144491777e-169,-100.0,950495.0495049505,-4.950495049504944,3.096273353801611e-12,-100.0,2.459216557991249e-31,-100.0,2.3020540513438882e-55,-100.0,4.815816218509255e-68,-99.99999999997908,3.045217730537598e-83,-99.99999999999993,1.3663651754093424e-97,-99.99999999999956,5.8366600678308025e-112,-99.99999999999957,9.087777153646933e-126,-99.99999999999845,1.5319014794544e-140,-99.99999999999983,4.1684443482517125e-154,-99.99999999999729,3.2520231459962602e-167,-99.9999999999922,6.513751144491777e-169,-97.99701574925406
47,2.87157579399267e-167,-100.0,950495.0495049505,-4.950495049504944,8.548000595878997e-12,-100.0,1.0566958146108401e-30,-100.0,1.4245279196095895e-54,-100.0,2.6981746321650275e-67,-99.99999999998106,2.2013701497884524e-82,-99.99999999999993,1.4036817505967298e-96,-99.99999999999936,8.680690618518947e-111,-99.99999999999937,1.3768604706853254e-124,-99.99999999999841,2.6883033982523683e-139,-99.9999999999998,1.348808140205015e-152,-99.99999999999498,1.4243225187440547e-165,-99.99999999998944,2.87157579399267e-167,-97.98390058697886
48,1.852618623869774e-164,-100.0,950495.0495049505,-4.950495049504944,1.6688662132617556e-11,-100.0,4.673014328926199e-30,-100.0,1.8990503775399845e-53,-100.0,8.181369568858333e-66,-99.99999999995693,1.3383729120919778e-80,-99.99999999999983,1.1060532893808217e-94,-99.99999999999918,9.140853371305565e-109,-99.99999999999918,1.9094098267095348e-122,-99.99999999999791,7.046730741622099e-137,-99.99999999999963,5.687427302940044e-150,-99.99999999999193,8.913047953653934e-163,-99.99999999998433,1.852618623869774e-164,-97.92145331933249
