short_period,long_period,final_value,total_return,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,value_2020,value_2021,value_2022,value_2023,value_2024,value_2025,return_2013,return_2014,return_2015,return_2016,return_2017,return_2018,return_2019,return_2020,return_2021,return_2022,return_2023,return_2024,return_2025
5,53,226192512.16957998,22519.251216957997,1000000,686427.2667152258,1074956.5729831823,2423903.1679819548,24356840.878480326,7992521.985481486,14369986.99785737,49231310.78443461,127381288.15238753,62231064.86032246,107176744.54229353,231587943.03594598,226192512.16957998,0.0,-31.357273328477426,56.60167145270811,125.48847357202743,904.8603096120733,-67.18571991598873,79.7928992120463,242.59815817352668,158.7403953352822,-51.14583486871729,72.22386405061779,116.08040440578782,-2.329754647688436
5,54,282373029.6590896,28137.302965908963,1000000,688191.8612312032,1130655.6602428525,2524336.9116924866,24989660.110840358,9040257.36112645,17994106.466920096,61647477.335451715,159506926.57197624,81262504.21122798,132997274.49763466,289108549.52859676,282373029.6590896,0.0,-31.180813876879682,64.29366924218832,123.26310303441868,889.9494792113782,-63.82400832572811,99.04418367883679,242.5981581735267,158.74039533528216,-49.053933921447026,63.66376570420596,117.37930391478702,-2.3297546476884454
5,55,265779568.21351534,26477.956821351534,1000000,688191.8612312032,1116443.7165993652,2470285.0326082422,24778504.449232392,8921024.926803593,17203805.629847772,59792250.51094868,152056135.92453334,78381612.74101342,126525355.44713603,272119279.78148067,265779568.21351534,0.0,-31.180813876879682,62.22855565336127,121.26373196246863,903.062566552091,-63.996919406167166,92.84561775136643,247.55246482913066,154.30743052009728,-48.45218690818578,61.42224052622899,115.07094670457234,-2.3297546476884303
5,56,330975056.79649204,32997.5056796492,1000000,688191.8612312032,1127391.656684885,2442085.471332403,24745147.492981713,9900627.951087309,19849664.77766925,68987999.19510926,175441608.12030774,89920659.01256905,153602261.74037343,322866383.8578227,330975056.79649204,0.0,-31.180813876879682,63.819382383850865,116.61376122947354,913.2793378227154,-59.98961835286958,100.48894752670023,247.55246482913068,154.30743052009726,-48.74610420185692,70.81976870176518,110.19637354269453,2.5114639814097384
5,57,283222765.9062585,28222.276590625854,1000000,688191.8612312032,1120165.537947165,2363134.459298231,23945153.201037522,9220576.191155748,18486236.161545664,60578551.07378475,156427997.53985795,81063519.63680102,131440894.18893851,276283992.9372391,283222765.9062585,0.0,-31.180813876879682,62.76936724348112,110.96296745826983,913.2793378227154,-61.49293298003945,100.48894752670023,227.69542996425557,158.2234054250133,-48.1783818039696,62.14555545805255,110.19637354269459,2.511463981409748
5,58,223596079.98589912,22259.607998589912,1000000,606886.4936595842,955682.6265256731,2016136.428401695,18793131.301038936,7052922.653184572,15217353.834913619,46420361.495177045,114934357.22928275,64587042.04215283,104484177.59233454,218118121.9170256,223596079.98589912,0.0,-39.31135063404158,57.47304257223035,110.96296745826993,832.1358930029011,-62.470742420691394,115.7595451304517,205.0488409402261,147.59470527006587,-43.805278422266696,61.77266257857541,108.75708355389094,2.5114639814097597
5,59,219756163.80838794,21875.616380838794,1000000,606886.4936595842,970953.6499438123,1934492.3368691648,18472267.202419624,6713959.122698284,15169363.706134075,45918444.31641207,105386041.94491956,62306381.85988106,102689823.75636366,214372281.18041533,219756163.80838794,0.0,-39.31135063404158,59.98933245142233,99.23632162885542,854.8896550459148,-63.653843628794824,125.93768339831112,202.70514443426464,129.506995530449,-40.877956216966815,64.81429460516533,108.75708355389084,2.5114639814097686
5,60,210451842.8742053,20945.18428742053,1000000,613274.7725402113,1010584.5347486747,2050866.374024015,18683195.077364285,8482534.094274301,19280081.861300286,53391722.71387757,115125361.16112374,67851925.1964206,101694996.2282945,205295910.03828636,210451842.8742053,0.0,-38.67252274597887,64.78495121571505,102.9386264588,810.9903655354151,-54.59805424527544,127.29153395698481,176.92684656618326,115.62398684543732,-41.0625734311848,49.877834613982685,101.87415079638605,2.511463981409754
5,61,198264357.19739252,19726.435719739253,1000000,621594.3915475396,1009369.9518837155,2038569.3225896645,18404573.224427067,8356034.351742935,18723411.064592805,52092722.90547382,110255760.29208153,64981907.76003443,99413784.30969384,193407009.80852968,198264357.19739252,0.0,-37.84056084524604,62.384018519015015,101.96453429044794,802.8181195745213,-54.59805424527546,124.07053724817922,178.2223961529348,111.6529030209247,-41.06257343118483,52.98686624715552,94.54747764759473,2.5114639814097517
5,62,253929657.72902802,25292.9657729028,1000000,621594.3915475396,1029126.3032551049,2069485.4043661468,19142788.201555684,8833676.976117237,20466383.941452302,61199379.412004426,130805267.277104,80843225.98025471,123679518.00029796,247708546.7973393,253929657.72902802,0.0,-37.84056084524604,65.56235340105981,101.09148875316936,825.002329621109,-53.85376005257506,131.68589927824277,199.02389981090963,113.73626421356519,-38.19574114779902,52.986866247155525,100.28259391885932,2.511463981409764
